SHENO,GN,fieldcount,Land_ID,Land_Type,Land_Size,Land_Tenancy,Land_TenureLength,Land_Type1,Land_Type2,Land_Type3,Land_Seasonality,Land_IrrigSource1,Land_IrrigSource2,Land_IrrigSource3,Land_IrrigSource4,Land_IrrigSource5,Land_MainTankIrrig,Land_StorageTankIrrig,Land_SluiceName1,Land_SluiceName2,Land_FieldCanalLocation,Land_DCanalName,Land_FCanalNumber,Land_PrepWaterDaysMaha,Land_PrepWaterDaysYala,Land_PrepWaterSatisMaha,Land_PrepWaterSatisYala,Land_GrowingWaterIntervalMaha,Land_GrowingWaterHoursMaha,Land_GrowingWaterIntervalYala,Land_GrowingWaterHoursYala,Land_GrowingWaterSatisMaha,Land_GrowingWaterSatisYala,Land_LatterWaterIntervalMaha,Land_LatterWaterHoursMaha,Land_LatterWaterIntervalYala,Land_LatterWaterHoursYala,Land_LatterWaterSatisMaha,Land_LatterWaterSatisYala,Land_CultivationFrequency,Land_WhyNoCult1,Land_WhyNoCult2,Land_WhyNoCult3,Land_WhyNoCult4,Land_WhyNoCult5,Land_LowYieldDrought,Land_LowYieldOther,filter_$
155,16,3,1,1,.25,1,20,1, , ,2,5, , , , , ,46,5, ,2, , ,5, ,3, ,10,5, , ,3, ,10,5, , ,3, ,5,1, , , , ,0,0,0
155,16,3,2,2,4,7,5,2, , ,2,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,4,0,1
155,16,3,3,2,2,7,5,2, , ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, , , , ,4,0,1
432,20,2,1,1,.5,1,3,1,2, ,1,5,7,11, , , ,69,7, ,2, , ,99,99,4,2,99,99,3,72,4,2,99,99,3,72,4,2,8,6, , , , ,2,1,0
432,20,2,2,2,1,1,3,2, , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6, , , , ,4,2,0
554,23,2,1,1,.25,2,30,1, , ,1,4, , , , ,3,71,2, ,1,99,99,7,7,3,3,3,8,3,8,3,3,4,8,4,8,3,3,10, , , , , ,0,2,0
554,23,2,2,1,1,2,30,1, , ,1,4, , , , ,3,71,2, ,2,99,99,7,7,3,3,3,8,3,8,3,3,4,8,4,8,3,3,8,2, , , , ,0,1,0
840,13,2,1,1,1,6,35,1, , ,1,2, , , , ,4, ,1, ,4,D4,LB4,7,7,2,2,7,8,7,12,2,2,7,8,7,12,2,2,8,1, , , , ,3,1,0
840,13,2,2,2,.25,6,2,1, , ,1,5,8, , , , ,31,6, ,3, , ,7,7,3,2,7,8,7,12,2,2,7,8,7,12,2,2,3,6, , , , ,1,0,0
922,7,1,1,1,.25,1,60,1, , ,2,4, , , , ,5,11,7,13,1,D13,01,1, ,3, ,7,1, , ,3, ,7,1, , ,3, ,4,1, , , , ,2,1,0
111,16,3,1,1,.25,3,2,1, , ,2,5, , , , , ,46,4, ,2, , ,2, ,3, ,8,2, , ,3, ,5,2, , ,3, ,2,6, , , , ,0,0,0
111,16,3,2,1,.25,3,2,1, , ,2,5, , , , , ,46,4, ,2, , ,2, ,3, ,8,2, , ,3, ,5,2, , ,3, ,2,6, , , , ,0,0,0
