ID,SHENO,HI5,HI6,HI3,HI4_Name,HI4,HI8,HH_Members,HH_U_13,HH_Adult,HH_O_65,HH_C_1,HH_G_1,HH_H_1,HH_J_1,HH_K_1,HH_2_A_01,HH_2_D_01,HH_2_E_01,HH_2_F_01,HH_2_H_01,HH_2_H_X,HAC_3_1,LAN1B_01,LAN1C_01,Total_HA,LAN1D_01,LAN1E_01,LAN1G_01,Season,LAN1H1_01,Major_Irr,LAN1I_01,FAR1A_1,FAR1A_5,Rice_per_acre,FIN2_1,SAT1_1,SAT1_1X,SAT1_2,SAT1_2X,FO_1,FO_2,FO_3,CAES_1,ADP1_A3,ADP1_A4,ADP1_A5,ADP1_A6,ADP1_A7,ADP1_A8,ADP1_A9,ADP1_A10,ADP1_AX1,ADP1_A,ADP1_AX2,ADP1_B1,ADP1_B3,ADP1_B4,ADP1_B5,ADP1_B6,ADP1_B7,ADP1_B8,ADP1_B9,ADP1_B10,ADP1_BX1,ADP1_B,ADP1_BX2,NDP4_1,NDP4_2,NDP4_3,CAP5_1,CAP5_2,CAP5_3,CAP5_4,Adaptive_Cap,CAP1_1,CAP1_2,CAP1_3,Collective_Acts,Personal_Cont,CAP2_1,CAP2_2,CAP2_3,PID1B_1,PID1B_2,PID1B_3,Standardized_SES,Agrowell_Prop,Major_Prop,Minor_Prop,Other_Prop,Rainfed_Prop,Food_Insecurity
1,101,15,15,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.2,0.8,0,2,1,97,1,1,1,2,55,3,611,1,1,1,1,2.75,1,15,1,1,5,0,0,1,80,80,2,1,1,3,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,2,3,1,4,2.5,2,4,2,2.666666667,1,1,3,2,3,1,3,-1.915742165,0,0,36.36363636,0,63.63636364,0
2,102,58,58,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0,1,0,1,1,96,1,1,1,1,47,2,611,1,1,1,1,2.75,2,2,2,2,5,0,0,1.25,120,96,1,1,1,2,0,0,1,0,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,2,3,2,4,2.75,4,4,2,3.333333333,3,1,3,3,3,3,3,-0.158827282,0,0,45.45454545,0,54.54545455,0
3,103,56,56,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,0,1,2,1,95,1,1,1,1,75,3,611,1,1,1,1,1,1,40,2,2,5,0,0,1,90,90,2,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,2,1,1,1,1.25,4,4,2,3.333333333,1,2,3,3,3,4,1,-0.996150225,0,0,100,0,0,0
4,104,52,52,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,2,5,0.4,0.6,0,1,1,96,1,1,1,1,46,6,411,2,2,1,0.25,8.25,1,10,1,1,5,0,0,7.25,550,75.86206897,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,4,3,1,4,3,2,3,4,3,2,1,3,3,4,3,4,-0.003751121,0,0,87.87878788,0,12.12121212,0
5,105,20,20,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0,0.8,0.2,1,1,96,1,1,1,1,51,2,611,1,1,1,2,2,1,35,1,1,5,0,0,1.5,105,70,2,1,1,3,1,0,0,1,2,1,1,1,1,1,1,1,1,1,3,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,4,4,2,4,3.5,1,4,1,2,2,2,2,2,4,3,3,0.503540001,0,0,100,0,0,2
6,106,17,17,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,5,0.4,0.6,0,1,1,96,1,1,1,2,38,4,611,1,1,1,1.5,2.5,1,13,1,1,5,0,0,1.5,120,80,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,3,3,2,4,3,4,4,3,3.666666667,2,1,4,3,4,4,3,0.377947939,0,0,60,0,40,0
7,107,31,31,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0,0.666666667,0.333333333,2,1,95,1,1,1,1,70,3,611,1,1,1,0.5,2.5,1,10,2,2,5,0,0,1.5,120,80,1,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,2,3,2,2,2.25,4,4,3,3.666666667,2,1,3,3,3,3,3,-0.004868779,0,0,60,0,40,0
8,108,43,43,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,2,0,1,0,2,1,96,1,1,1,1,58,3,611,1,1,1,0.5,5,3,15,1,1,5,0,0,2,250,125,2,1,1,3,1,0,0,1,2,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,4,3,2,2.75,4,4,2,3.333333333,1,1,3,4,4,3,3,-0.775384299,0,0,40,0,60,0
9,109,139,72,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,3,0.333333333,0.666666667,0,1,1,96,1,1,1,1,60,2,611,1,1,1,1.5,1.5,1,45,1,1,5,0,0,1.5,90,60,1,1,1,3,1,0,0,1,2,1,1,1,1,1,1,1,0,1,2,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,4,1.75,3,3,2,2.666666667,0,1,1,2,4,3,4,-0.158827282,0,0,100,0,0,2
10,110,30,30,54,HIRALLUGAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,16,1,4,0.25,0.75,0,1,1,96,1,1,1,1,42,3,611,1,1,1,1,3.5,3,3,2,2,5,0,0,2.5,275,110,1,1,1,3,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,2,4,3.25,2,3,2,2.333333333,2,1,4,3,4,4,4,0.700613507,0,0,71.42857143,0,28.57142857,0
