SPSS_vname,season,vname,vdesc,questionText,class,section,sectionNo,table,q,sq,ssq,sssq,unit,repeat,qualitative,other,nan
ADAPT_ID,,adaptID,adaptID,,,HH identifiers,0,,3,,,,,,,,
HIQ1_NAME,,gn,GN,Community name,,HH identifiers,0,,1,1,,,,,,,
HIQ1_CODE,,community,Community,GN code,String,HH identifiers,0,,1,2,,,,,,,
HIQ2,,fo,FO ID,Farmers society list ID,Integer,HH identifiers,0,,1,2,,,,,,,
HIQ3,,farmer,Farmer ID,Selected farmer's ID,Integer,HH identifiers,0,,1,3,,,,,,,
HIQ4,,plot,MASL plot ID,"If Mahaweli, plot ID number",,HH identifiers,0,,1,4,,,,,,,
HH1B1_1,,local,Born in this GN,Were you born in this village?,YN,HH characteristics,1,1,1,,,,,,,,
HH1B1_2_1,,fromGN,GN of origin,Where were you born?,Integer,HH characteristics,1,1,2,1,,,,,,,999
HH1B1_2_2,,fromDS,DS of origin,Where were you born?,Integer,HH characteristics,1,1,2,2,,,,,,,
HH1B1_3,,whenArrive,Arrival,When did you come to this village?,Integer,HH characteristics,1,1,3,,,,,,,,7777
HH1C1,,fatherFarm,Father farmed,Did your father farm?,YN,HH characteristics,1,1,4,,,,,,,,
HH1D1,,gfFarm,Grandfather farmed,Did your grandfather farm?,YN,HH characteristics,1,1,5,,,,,,,,
HH1E1,,experience,Years experience,How many years have you been a farmer?,Integer,HH characteristics,1,1,6,,,,,,,,
HH1F1,,settler,Settlement category,What is your household's settlement category?,Categorical,HH characteristics,1,1,7,,,,,,,TRUE,
HH1G1,,religion,Religion,What is your religion?,Categorical,HH characteristics,1,1,8,,,,,,,TRUE,
HH1H1,,ethnicity,Ethnicity,What is your ethnicity,Categorical,HH characteristics,1,1,9,,,,,,,TRUE,
HH2B.01,,relation,Relation to farmer,Relation to farmer,Categorical,Demographic,1,2,1,,,,,,,,
HHMembers,,hhsize,Household size,,Integer,Demographic,1,2,,,,,,,,,
HH2A.01,,relationno,Relation to farmer code,Relation to farmer code,Integer,Demographic,1,2,1,,,,,,,,
HH2C.01,,gender,Gender,Gender,Categorical,Demographic,1,2,2,,,,,,,,
HH2D.01,,age,Age,What is the respondant's age?,Integer,Demographic,1,2,3,,,,,,,,
HH2E.01,,education,Highest education level,Highest level of education completed,Categorical,Demographic,1,2,4,,,,,,,,
HH2F.01,,student,Still in education,Is respondent still in education?,YN,Demographic,1,2,5,,,,,,,,
HH2G1.01,,home,Location of home,Where does the respondent live?,Categorical,Demographic,1,2,6,1,,,,,,,
HH2H.01,,active,Economically active,Is the respondent involved in any economic activity (irrespective of payments) including family economic activity for the last 6 months?,YN,Demographic,1,2,8,,,,,,,,
HH2I.01,,occupation,Primary occupation,What is the respondents primary occupation?,String,Demographic,1,2,9,,,,,,TRUE,,
HH2J.01,,occupation2,Secondary occupation,What is the respondent's secondary occupation?,String,Demographic,1,2,10,,,,,,TRUE,,
HAC1_1,,electricity,Electricity,Electricity (any source),YN,HH assets,2,1,1,,,,,,,,
HAC1_2,,tv,TV,,YN,HH assets,2,1,2,,,,,,,,
HAC1_3,,radio,Radio,,YN,HH assets,2,1,3,,,,,,,,
HAC1_4,,fridge,Refridgerator,Refridgerator or freezer,YN,HH assets,2,1,4,,,,,,,,
HAC1_5,,phone,Phone ,Phone (landline or mobile),Integer,HH assets,2,1,5,,,,,,,,
HAC1_8,,bike,Bicycle,Bicycle,Integer,HH assets,2,1,8,,,,,,,,
HAC1_9,,car,Car,"Car, van, bus, truck",Integer,HH assets,2,1,9,,,,,,,,
HAC1_10,,scooter,Scooter,Motor-cycle or scooter,Integer,HH assets,2,1,10,,,,,,,,
HAC1_11,,tuktuk,Tuk-tuk,Tuk-tuk,Integer,HH assets,2,1,11,,,,,,,,
HAC1_12,,cow,Cattle or buffalo,Cattle/buffalo,Integer,HH assets,2,1,12,,,,,,,,
HAC1_13,,goat,Goats,Goats,Integer,HH assets,2,1,13,,,,,,,,
HAC1_14,,swine,Swine,Swine,Integer,HH assets,2,1,14,,,,,,,,
HAC1_15,,chicken,Poultry,Poultry,Integer,HH assets,2,1,15,,,,,,,,
